"Game","Year","Genre","Publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","log_na_sales","log_eu_sales","log_jp_sales","log_other_sales","log_global_sales"
"Evolve","2015","Shooter","2K Games",0.38,0.41,0.05,0.16,1.01,0.322083499169113,0.343589704390077,0.048790164169432,0.148420005118273,0.698134722070984
"Injustice: Gods Among Us","2013","Fighting","Warner Bros. Interactive Entertainment",0.46,0.35,0,0.17,0.98,0.378436435720245,0.300104592450338,0,0.157003748809665,0.683096844706444
"EA Sports UFC 3","2018","Sports","EA Sports",0.4,0.41,0.01,0.16,0.97,0.336472236621213,0.343589704390077,0.00995033085316809,0.148420005118273,0.678033542749897
"Madden NFL 25","2013","Sports","EA Sports",0.64,0.15,0,0.17,0.96,0.494696241836107,0.139761942375159,0,0.157003748809665,0.672944473242426
"MLB 16: The Show","2016","Sports","Sony Computer Entertainment",0.78,0,0,0.18,0.96,0.576613364303994,0,0,0.165514438477573,0.672944473242426
"Lego Batman 3: Beyond Gotham","2014","Action","Warner Bros. Interactive Entertainment",0.37,0.42,0,0.16,0.94,0.314810739840034,0.350656871613169,0,0.148420005118273,0.662687973075237
"Final Fantasy X/X-2 HD Remaster","2015","Role-Playing","Square Enix",0.34,0.36,0.07,0.14,0.9,0.29266961396282,0.307484699747961,0.0676586484738149,0.131028262406404,0.641853886172395
"Ni no Kuni II: Revenant Kingdom","2018","Role-Playing","Namco Bandai Games",0.33,0.31,0.12,0.13,0.89,0.285178942233662,0.27002713721306,0.113328685307003,0.122217632724249,0.636576829071551
"God of War III","2015","Action","Sony Computer Entertainment",0.4,0.33,0.02,0.15,0.89,0.336472236621213,0.285178942233662,0.0198026272961797,0.139761942375159,0.636576829071551
"Fortnite","2017","Action","Gearbox Software",0.42,0.32,0,0.15,0.89,0.350656871613169,0.27763173659828,0,0.139761942375159,0.636576829071551
"LEGO Harry Potter Collection","2016","Action","Warner Bros. Interactive Entertainment",0.07,0.68,0,0.13,0.88,0.0676586484738149,0.518793793415168,0,0.122217632724249,0.631271776841858
"Minecraft: Story Mode","2015","Adventure","Mojang",0.31,0.42,0,0.14,0.87,0.27002713721306,0.350656871613169,0,0.131028262406404,0.625938430866495
"BioShock The Collection","2016","Shooter","2K Games",0.41,0.28,0.03,0.14,0.86,0.343589704390077,0.246860077931526,0.0295588022415444,0.131028262406404,0.62057648772511
"Thief 4","2014","Action","Square Enix",0.28,0.41,0.03,0.13,0.85,0.246860077931526,0.343589704390077,0.0295588022415444,0.122217632724249,0.615185639090233
"Until Dawn: Rush of Blood","2016","Shooter","Sony Interactive Entertainment",0.5,0.21,0,0.15,0.85,0.405465108108164,0.19062035960865,0,0.139761942375159,0.615185639090233
"Disney Infinity 3.0","2015","Action","Disney Interactive Studios",0.31,0.4,0,0.14,0.85,0.27002713721306,0.336472236621213,0,0.131028262406404,0.615185639090233
